run,Ne_1,Ne_2,reassortment_1,reassortment_2,migration_1, migration_2 
1,1.275885309396,3.185885274380,0.060397247780,0.050671502248,0.115646918878,0.132553313869
2,1.641235632438,3.652584661924,0.072372435065,0.209478647033,0.200189342040,0.129546608344
3,4.811050010348,1.003337085746,0.122399296276,0.179424322403,0.116805595672,0.181248814256
4,1.257190002687,1.624624385498,0.068415169874,0.112702246198,0.325832993455,0.163567659556
5,1.227508945254,1.032291952811,0.046013144736,0.078677726492,0.127102011876,0.213594293970
6,1.176870485335,1.909098862182,0.111861929113,0.065589093734,0.429236374923,0.456398932156
7,0.865430739999,1.045753706070,0.025274611940,0.068996434688,0.095556837918,0.147422622443
8,6.505794122353,0.526491788710,0.120291067669,0.070112771780,0.213440471396,0.152034623153
9,2.665172498438,2.805486194705,0.063200116762,0.049298937080,0.093781358369,0.391453180406
10,2.637681288619,2.690085956978,0.111090233663,0.112859217449,0.248748890452,0.272556420174
11,1.653906722703,2.167309658130,0.099663427900,0.125713228697,0.101951971647,0.172867080077
12,1.797082982117,1.490362313846,0.054587079672,0.039860336227,0.181942246698,0.346464533145
13,1.781540904915,1.796091912182,0.137489279313,0.125276158550,0.236429826966,0.202717241647
14,2.413781211308,1.745794362843,0.229535257296,0.261762654643,0.170692786179,0.269273828713
15,1.954936591109,2.141571726759,0.130553617626,0.086343565678,0.168148069806,0.136793867068
16,1.325205883092,2.879943696901,0.143112120688,0.027446966709,0.307225316639,0.213546792663
17,3.110009625684,2.565660209787,0.100330550813,0.081180684074,0.088636180393,0.196106263356
18,2.190084534642,2.786348722259,0.046173457490,0.062924619381,0.248514402159,0.086118886523
19,2.537350639011,1.127803483724,0.162248039227,0.063138549978,0.423156440982,0.110625180490
20,0.895482573123,1.321638433335,0.096126801339,0.033620589392,0.193131795086,0.154697342898
21,1.577559518693,1.532818723615,0.031833734355,0.078065154437,0.095463761791,0.141801197774
22,2.445119091696,3.036311955824,0.173751821802,0.072357042519,0.320088816786,0.077544117865
23,2.203343495931,1.507215316461,0.026994530772,0.065899848580,0.118114029987,0.295149140409
24,2.660733687804,1.354098620614,0.050404093569,0.099448551146,0.199816498964,0.101307877062
25,1.655590669939,0.736994943569,0.051965125334,0.106339087540,0.330668926995,0.383129257228
26,2.058880675143,2.156225670891,0.105456412904,0.104679556146,0.230017407769,0.313891797218
27,1.376024860020,1.832669160449,0.051618618964,0.058248292178,0.129771042464,0.178349496264
28,1.675440077882,0.940402669992,0.100625095389,0.108938025933,0.394503527105,0.312896663769
29,2.445348655560,2.119016722592,0.057817152797,0.085758341837,0.109432600363,0.141779720487
30,1.661171522408,3.856137652978,0.054633207575,0.062897642297,0.143592414833,0.115858281618
31,6.759443517282,1.905592608532,0.038195834071,0.195806841012,0.269824142981,0.098408631820
32,1.717963749308,1.866366517864,0.107915959803,0.048430753825,0.528279521117,0.132302605182
33,0.941324680595,1.775006788909,0.114946431580,0.140530150310,0.282207510356,0.113441478293
34,1.414553983158,2.015001452924,0.197502316958,0.044504969438,0.153716115996,0.198538693945
35,0.909785244144,1.742134363267,0.036655005781,0.029022143698,0.186857020562,0.151406779128
36,1.594410433311,3.660130922030,0.178597383108,0.173368155387,0.470226998956,0.556760995624
37,1.879111452708,2.022628883736,0.064621684133,0.240366550823,0.564025415480,0.096768750052
38,3.276209664754,1.531385827100,0.116652834190,0.057817295381,0.188720793291,0.244784738855
39,2.776862418758,0.732114811313,0.062897283285,0.096207537464,0.296097862005,0.287785350476
40,3.978651528991,2.929191408638,0.101471024962,0.079476791430,0.178790238605,0.072683286149
41,2.390712846572,1.338314916496,0.117105811679,0.074260610817,0.141549504861,0.283735096711
42,4.963439685175,2.887882514441,0.129908139384,0.063814248783,0.246708366875,0.119033470548
43,3.163790427769,2.476462034293,0.196259724842,0.047625423497,0.268229008023,0.099486493782
44,2.610321050345,2.638776661765,0.056039243510,0.071760414682,0.135985632348,0.122971342412
45,2.008078215531,1.381796358485,0.105654708383,0.050607735832,0.307981307467,0.453313067209
